setting,n,spatial,temporal,candidate,restarts,offset,base_score,cand_score,diff,ci_lo,ci_hi,wins,perm_p,base_success,cand_success,base_div,cand_div,calls,calls_match,mmd_diff,mmd_ci_lo,mmd_ci_hi,mmd_p,screening_diff,s_per_run
10D,16,no_lgd,none,relclip_ema2,100,1000,0.5634671869671288,0.519772142836088,0.04369504413104088,0.0008418963656865297,0.08689644757527236,55,0.05209739513024349,0.0,0.0,0,0,1584,True,0.09910465002059937,0.05193080186843872,0.14476629495620727,4.999750012499375e-05,0.011880127029266552,0.6910238694801228
10D,16,no_lgd,none,sqrt_floor,100,1000,0.5634671869671288,0.5364943247095155,0.026972862257613334,-0.015493293243591432,0.06966268838634829,54,0.22048897555122243,0.0,0.0,0,0,1584,True,0.07160772562026978,0.023638119697570802,0.12041221618652344,0.004149792510374482,0.03423799780096637,0.6710205863503507
10D,16,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.5634671869671288,0.5486762558923713,0.014790931074757555,-0.02872382303561259,0.058597341577891225,48,0.5157742112894356,0.0,0.0,0,0,1584,True,0.1282464647293091,0.09047261714935302,0.16810460329055787,4.999750012499375e-05,-0.010960753280588542,0.657543830940267
10D,16,no_lgd,none,trust_noise1,100,1000,0.5634671869671288,0.4885332902828623,0.07493389668426659,0.03326126608716053,0.11720096339943067,64,0.0007999600019999,0.0,0.0,0,0,1584,True,0.12861469507217407,0.08814531326293945,0.17193626880645752,4.999750012499375e-05,0.029907455125486038,0.6755657130299368
10D,32,no_lgd,none,clip0.5,100,1000,0.4769694177961972,0.5518262827831534,-0.07485686498695616,-0.11020145995996468,-0.03857758708521231,24,0.000199990000499975,0.0,0.0,0,0,3168,True,0.07078385829925538,0.04356383800506592,0.10431508064270019,4.999750012499375e-05,-0.06707479411281031,0.6783904310999788
10D,32,no_lgd,none,relclip1,100,1000,0.4769694177961972,0.5527123087031776,-0.07574289090698039,-0.11273886004451157,-0.03760280510954787,30,9.99950002499875e-05,0.0,0.0,0,0,3168,True,0.07223115682601929,0.04519826412200928,0.10568683624267577,4.999750012499375e-05,-0.07008452402050475,0.6751786190200073
10D,32,no_lgd,none,relclip2,100,1000,0.4769694177961972,0.4766169496919351,0.00035246810426212306,-0.02786422799306297,0.02971813441039621,47,0.9803509824508775,0.0,0.0,0,0,3168,True,0.06099074363708496,0.03161598443984985,0.09575740098953248,4.999750012499375e-05,0.007688410544947233,0.7496150933099852
10D,32,no_lgd,none,relclip_ema2,100,1000,0.4769694177961972,0.468809732786736,0.00815968500946123,-0.019831162231113385,0.03604473093635072,59,0.5748212589370532,0.0,0.0,0,0,3168,True,0.05673221588134766,0.024908702373504638,0.09235071659088134,0.00039998000099995,0.02613712592433942,0.7152248152399988
10D,32,no_lgd,none,sqrt_floor,100,1000,0.4769694177961972,0.5152796521540043,-0.03831023435780707,-0.0707229524745269,-0.0056973171461814675,41,0.024048797560121994,0.0,0.0,0,0,3168,True,0.04662260293960571,0.014163768291473389,0.08349453210830689,0.0058997050147492625,-0.006056940480728801,0.6858850342399819
10D,32,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.4769694177961972,0.5651722730183226,-0.08820285522212541,-0.12568314961241822,-0.049998949802215815,33,4.999750012499375e-05,0.0,0.0,0,0,3168,True,0.06021958351135254,0.031895859241485594,0.09470545530319213,4.999750012499375e-05,-0.07381031792269294,0.6788229914099793
10D,32,no_lgd,none,trust_noise1,100,1000,0.4769694177961972,0.45747480753339675,0.01949461026280046,-0.009131905341511235,0.04844070621054089,48,0.19154042297885104,0.0,0.0,0,0,3168,True,0.07636126756668091,0.04836432933807373,0.11059449911117554,4.999750012499375e-05,0.03760015530371752,0.6753349759100092
